isin,list,last_date,cur,price_change,price_bid,price_ask,price_avg,price_open,price_close,price_high,price_low,yield_change,yield_bid,yield_ask,yield_avg,yield_open,yield_close,yield_high,yield_low,vol,snapshot_date,market
AMACBAB2EER9,BBOND,2026-07-30,AMD,-,100.2253,100.3271,-,-,-,-,-,-,8.5006,8.1001,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2FER6,BBOND,2026-07-30,USD,-,99.9101,99.9679,-,-,-,-,-,-,4.8282,4.6013,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2GER4,BBOND,2026-07-30,AMD,-,103.6362,104.8981,-,-,-,-,-,-,9.6500,9.2000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2HER2,BBOND,2026-07-30,USD,-,101.7234,102.4881,101.7234,101.7234,101.7234,101.7234,101.7234,-,5.4074,5.1500,5.4074,5.4074,5.4074,5.4074,5.4074,9,2026-07-31,corporate_bonds
AMACBAB2IER0,BBOND,2026-07-30,AMD,-,101.6998,103.0166,-,-,-,-,-,-,9.8699,9.4000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2JER8,BBOND,2026-07-30,AMD,-,99.7762,100.4154,-,-,-,-,-,-,9.6500,9.2000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2KER6,BBOND,2026-07-30,AMD,-,100.4583,101.7676,-,-,-,-,-,-,9.8400,9.4000,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2LER4,BBOND,2026-07-30,AMD,-,104.3051,105.787,-,-,-,-,-,-,9.2040,8.7750,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2MER2,BBOND,2026-07-30,USD,-,101.6334,102.5016,-,-,-,-,-,-,5.0500,4.8150,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2NER0,BBOND,2026-07-30,AMD,-,104.4755,106.0842,-,-,-,-,-,-,9.2500,8.8180,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2OER8,BBOND,2026-07-30,USD,-,99.9972,101.0036,-,-,-,-,-,-,5.5000,5.2440,-,-,-,-,-,0,2026-07-31,corporate_bonds
AMACBAB2PER5,BBOND,2026-07-30,AMD,-,-,103.6436,101.186,102.3445,100.8844,102.3445,100.8844,-,-,9.2500,9.9174,9.6000,10.0000,10.0000,9.6000,5000,2026-07-31,corporate_bonds
AMAGRTB21KT0,BBOND,2026-07-30,AMD,-,104.0261,105.1425,-,-,-,-,-,-,11.0500,10.5270,-,-,-,-,-,0,2026-07-31,corporate_bonds
